recta,enemigos_delante,enemigos_atras,platanos_delante,conchas_atras,power_up_tirado
false,1,3,0,0,mushroom
false,2,1,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
true,0,0,0,0,mushroom
true,0,0,1,0,mushroom
true,0,0,0,0,mushroom
true,0,0,0,0,mushroom
true,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
true,0,0,0,0,mushroom
false,0,0,1,0,mushroom
true,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
true,1,0,0,0,mushroom
true,1,0,1,0,mushroom
true,1,1,0,1,mushroom
true,0,0,0,1,mushroom
true,0,2,0,0,mushroom
true,0,0,0,0,mushroom
true,0,1,0,1,mushroom
true,0,1,1,0,mushroom
false,0,0,0,0,mushroom
true,1,0,0,0,mushroom
true,1,1,0,1,mushroom
false,0,0,1,0,mushroom
true,0,1,0,0,mushroom
true,2,1,0,0,mushroom
true,0,0,1,0,mushroom
true,0,0,0,1,mushroom
true,0,1,0,0,mushroom
true,0,0,0,0,mushroom
true,0,0,1,0,mushroom
true,0,1,2,0,mushroom
true,1,0,0,0,mushroom
true,1,1,0,1,mushroom
true,1,0,1,1,mushroom
true,0,1,1,0,mushroom
true,0,0,0,0,mushroom
false,0,1,0,0,mushroom
true,0,1,1,1,mushroom
true,0,0,1,1,mushroom
true,1,1,0,0,mushroom
true,0,0,0,0,mushroom
true,0,0,1,1,mushroom
true,0,0,1,0,mushroom
true,0,1,1,1,mushroom
true,0,0,0,1,mushroom
false,1,0,1,1,mushroom
true,1,0,0,0,mushroom
true,0,0,1,0,mushroom
false,1,0,0,1,mushroom
true,0,2,0,0,mushroom
true,0,0,0,0,mushroom
true,1,1,1,1,mushroom
true,0,0,1,1,mushroom
true,1,0,1,1,mushroom
true,0,0,1,0,mushroom
true,1,0,1,1,mushroom
false,1,1,1,0,mushroom
true,0,0,1,0,mushroom
true,0,0,0,0,mushroom
true,0,1,0,1,mushroom
true,0,0,0,0,mushroom
true,1,1,2,0,mushroom
true,1,0,0,0,mushroom
true,0,0,0,1,mushroom
true,1,0,1,0,mushroom
true,2,1,0,0,mushroom
true,0,0,1,0,mushroom
true,0,0,1,0,mushroom
true,0,0,0,0,mushroom
true,1,2,0,1,mushroom
true,0,1,2,0,mushroom
true,0,0,0,0,mushroom
true,0,1,1,0,mushroom
true,0,0,0,0,mushroom
true,0,0,0,1,mushroom
true,0,0,0,1,mushroom
true,0,0,1,0,mushroom
true,1,0,0,1,mushroom
true,1,0,0,1,mushroom
true,1,2,1,1,mushroom
true,0,1,1,1,mushroom
true,0,1,0,1,mushroom
true,1,0,0,0,mushroom
true,0,1,1,0,mushroom
true,0,2,1,1,mushroom
true,1,0,1,0,mushroom
true,0,1,1,1,mushroom
true,0,1,0,0,mushroom
true,0,0,1,0,mushroom
true,1,1,0,0,mushroom
true,0,0,0,0,mushroom
true,1,0,0,0,mushroom
true,1,1,0,0,mushroom
true,1,0,0,1,mushroom
true,0,1,0,1,mushroom
true,0,1,0,0,mushroom
true,0,0,0,0,mushroom
true,0,0,0,0,mushroom
true,0,0,1,1,mushroom
true,0,0,0,0,mushroom
true,1,1,1,0,mushroom
true,0,0,0,1,mushroom
true,0,0,1,1,mushroom
true,1,0,0,1,mushroom
true,0,0,0,0,mushroom
true,0,0,0,0,mushroom
true,1,0,0,0,mushroom
true,0,0,0,0,mushroom
true,1,0,1,0,mushroom
true,0,1,1,1,mushroom
true,0,1,0,0,mushroom
true,1,0,0,1,mushroom
true,1,0,1,1,mushroom
true,0,1,0,1,mushroom
true,0,0,0,0,mushroom
true,0,1,0,0,mushroom
true,0,1,1,0,mushroom
true,0,0,0,0,mushroom
true,1,0,0,0,mushroom
true,0,0,0,0,mushroom
false,0,1,0,1,mushroom
true,0,0,1,0,mushroom
true,0,0,0,0,mushroom
true,1,0,0,1,mushroom
true,1,0,0,1,mushroom
true,0,1,0,0,mushroom
true,1,0,0,0,mushroom
true,1,1,0,0,mushroom
true,0,0,0,1,mushroom
true,0,1,0,1,mushroom
true,0,0,0,1,mushroom
true,0,0,0,0,mushroom
true,0,1,1,1,mushroom
true,0,0,0,0,mushroom
true,1,0,1,0,mushroom
true,1,0,0,1,mushroom
true,0,0,1,0,mushroom
true,0,1,0,0,mushroom
true,0,0,0,0,mushroom
true,0,0,1,0,mushroom
true,0,0,0,1,mushroom
true,0,0,0,0,mushroom
true,1,0,0,0,mushroom
true,0,1,1,0,mushroom
true,0,1,0,1,mushroom
false,1,1,1,0,mushroom
true,0,0,1,1,mushroom
true,1,0,1,0,mushroom
false,0,0,1,0,mushroom
true,0,0,1,0,mushroom
true,0,0,1,0,mushroom
true,0,1,1,0,mushroom
true,1,0,2,0,mushroom
